,tweet id, tweet, label,tweet_cleaned
23,'350028174517731330',"http://t.co/pfYIjjz3Fw those arms, that face that smile..... this guy is absolutely perfect",off-topic,"<url> those arms , that face that smile . <repeat> this guy is absolutely perfect"
24,'351451401609674755',Keep on saying.Duplicate tweet Fudge is that!,off-topic,keep on saying.duplicate tweet fudge is that !
25,'351225709735313409',"would #specifically please the leader of this whole expedition. And once that was out of the way, she would rejoin the f",off-topic,"would <hashtag> specifically please the leader of this whole expedition . and once that was out of the way , she would rejoin the f"
26,'347976763651010560',Is it in poor taste to inform my calgary friends that today is international surfing day?? Just sayin... #silverlinings,on-topic,is it in poor taste to inform my calgary friends that today is international surfing day ? <repeat> just sayin . <repeat> <hashtag> silverlinings
27,'350664965717377027',Driving the forklift.. Feel something tickling my ear (pleas let it be my hair) worst fear come true.. Tar sand beetle! #nooo #cryingensues,off-topic,driving the forklift . <repeat> feel something tickling my ear -LRB- pleas let it be my hair -RRB- worst fear come true . <repeat> tar sand beetle ! <hashtag> no <elong> <hashtag> cryingensues
28,'351479278430461952',Lord of the Rings Adventure Board Game is happening at the lake. #nerdlife @ Laurier Lake http://t.co/FFF568MLug,off-topic,lord of the rings adventure board game is happening at the lake . <hashtag> nerdlife @ laurier lake <url>
29,'348128227425923074',"Hi friends, I'm safe, surrounded by water, but stocked with food and water. Just waiting it out now.",on-topic,"hi friends , i 'm safe , surrounded by water , but stocked with food and water . just waiting it out now ."
30,'348632163345895424',AND IT'S HALF FLAT WHAT THE FUCK I JUST OPENED IT FUCK YOU KOKANEE EVEN THO I LOVE YOU,off-topic,and <allcaps> it <allcaps> 's half <allcaps> flat <allcaps> what <allcaps> the <allcaps> fuck <allcaps> i just <allcaps> opened <allcaps> it <allcaps> fuck <allcaps> you <allcaps> kokanee <allcaps> even <allcaps> tho <allcaps> i love <allcaps> you <allcaps>
31,'349516651915526145',@jmslat it's never too early for spice girls,off-topic,<user> it 's never too early for spice girls
32,'350770369503830016',"There might be a thousand food items on a table, but you do not need to eat them all in order to satisfy your hunger,",off-topic,"there might be a thousand food items on a table , but you do not need to eat them all in order to satisfy your hunger ,"
33,'348827343684509696',Some kinda allergies my face is red and itchy!! #wtf #yyc I want my #islandnights back. It might rain at home but it doesn't do this shiet,off-topic,some kinda allergies my face is red and itchy ! <repeat> <hashtag> wtf <hashtag> yyc i want my <hashtag> islandnights back . it might rain at home but it does n't do this shiet
34,'350682547103088642',"Great, Han said. We'll come with you.",off-topic,"great , han said . we 'll come with you ."
35,'349299172748439553',RT @CondescendTorts: Do the Sedin's even fucking know what blocking a shot is? Yes! They've been defending @strombone1 doing it for years,off-topic,rt <allcaps> <user> : do the sedin 's even fucking know what blocking a shot is ? yes ! they 've been defending <user> doing it for years
36,'348832411565563904',@niqr_ i had 2 exams for this semester.,off-topic,<user> i had <number> exams for this semester .
37,'349641703398969345',"Every time I turn around, this place looks more and more like a Dexter kill room. @ Rocketfuel Games HQ http://t.co/NYk8cIShBC",off-topic,"every time i turn around , this place looks more and more like a dexter kill room . @ rocketfuel games hq <allcaps> <url>"
38,'348482157141958656',Red velvet cake is gross  never again,off-topic,red velvet cake is gross never again
39,'351477766937526272',"I'm at Princess Auto (Edmonton, AB) http://t.co/PX0BPH06Dp",off-topic,"i 'm at princess auto -LRB- edmonton , ab <allcaps> -RRB- <url>"
40,'348987812063883264',"#Skywire was boring, what was exciting was when Rodman went off the cliff &amp; KO'd himself",off-topic,"<hashtag> skywire was boring , what was exciting was when rodman went off the cliff & ko <allcaps> 'd himself"
41,'350803455453044737',Make sure to checkout the most epic pop-up party in #yyc right now! #Back2theBeltine until 10 p.m. tonight #VicParkYYC #Beltline,off-topic,make sure to checkout the most epic pop-up party in <hashtag> yyc right now ! <hashtag> back <number> thebeltine until <number> p.m. tonight <hashtag> vicparkyyc <allcaps> <hashtag> beltline
42,'349151662872596480',"see the first hints of a budding romance when it was happening right under his nose. Ben would deny it, of course, but",off-topic,"see the first hints of a budding romance when it was happening right under his nose . ben would deny it , of course , but"
43,'349533935279157248',"Isolder walked down a row of #Wookiees, all intent upon the jumble of small metal parts on the tables before them. The fu",off-topic,"isolder walked down a row of <hashtag> wookiees , all intent upon the jumble of small metal parts on the tables before them . the fu"
44,'349028670687555584',I HAVE EXAMS ALL THIS WEEK LAJSJKDSKNSFJKSK OMG NO IM SO SCARED :((((((,off-topic,i have <allcaps> exams <allcaps> all <allcaps> this <allcaps> week <allcaps> lajsjkdsknsfjksk <allcaps> omg <allcaps> no <allcaps> im <allcaps> so <allcaps> scared <allcaps> <sadface>
45,'351419696614105088',Road tripping with my Bro http://t.co/4T2i6KzvUu,off-topic,road tripping with my bro <url>
46,'351177129452507136',@emanuelburnstad @jolson391 You're welcome but don't call me Doc yet! Still have to go to Uni...,off-topic,<user> <user> you 're welcome but do n't call me doc yet ! still have to go to uni . <repeat>
47,'349316725688369153',@serenaryder Best wishes to you and all that jazz! I love jazz music!,off-topic,<user> best wishes to you and all that jazz ! i love jazz music !
48,'348313163583877121',@smashedpenney look forward to buying you n yer dude a beer tomorrow. Ya deserve a couple RAKs,off-topic,<user> look forward to buying you n yer dude a beer tomorrow . ya deserve a couple rak <allcaps> s
49,'349509670383271936',"Nor could Jaina do anything to help. Her #brother seemed to anticipate every adjustment she made, swinging Vatok around t",off-topic,"nor could jaina do anything to help . her <hashtag> brother seemed to anticipate every adjustment she made , swinging vatok around t"
50,'348159634999214080',Pix of Lafarge construction under water http://t.co/rTcjXJw1r4,on-topic,pix of lafarge construction under water <url>
51,'348842978590203904',@brittannyyx according to your horoscope you are always jealous... I think that's funny for some reason,off-topic,<user> according to your horoscope you are always jealous . <repeat> i think that 's funny for some reason
52,'350485506464821248',Yet another strange bug on the patio. Kinda cute actually #bug #insect #patio #igers #igdaily http://t.co/u5gVShNvpB,off-topic,yet another strange bug on the patio . kinda cute actually <hashtag> bug <hashtag> insect <hashtag> patio <hashtag> igers <hashtag> igdaily <url>
53,'350007705198538752',Wed 16:00: Partly cloudy. Risk of a thunderstorm this evening. Low 10.,off-topic,wed <number> partly cloudy . risk of a thunderstorm this evening . low <number>
54,'350399709824811009',2o13.o6.27 match made in heaven @theworksfest by @joshholinaty #yegarts @ Latitude 53 Gallery http://t.co/bS28p2JL6k,off-topic,<number> o <number> o <number> match made in heaven <user> by <user> <hashtag> yegarts @ latitude <number> gallery <url>
55,'349601327380328448',Need a stress relief sweat? http://t.co/fkKK50QfD8 for a great 200-500 too challenge. You decide what you are up to! http://t.co/Ir8UGIKIh6,off-topic,need a stress relief sweat ? <url> for a great <number> <number> too challenge . you decide what you are up to ! <url>
56,'350396009412706304',@MrSilverScott @TravelAlberta so does that mean you'll come renovate my house #itreallyneedsit,off-topic,<user> <user> so does that mean you 'll come renovate my house <hashtag> itreallyneedsit
57,'347888872329453569',"Jamesons &amp; Rolling Rock with Darren, Tommy #albertaflood (@ Ship &amp; Anchor Pub) http://t.co/SD3ik2ZpHw",on-topic,"jamesons & rolling rock with darren , tommy <hashtag> albertaflood -LRB- @ ship & anchor pub -RRB- <url>"
58,'348071965682171904',Day hasn't even started yet and I already hate it http://t.co/3v8GPryKh8,off-topic,day has n't even started yet and i already hate it <url>
59,'348650941362348032',Haven't worked out that hard in 2 months omg,off-topic,have n't worked out that hard in <number> months omg
60,'351466597891837952',@jenbernson ME....sometimes celery and cheese whizzzzzz,off-topic,<user> me <allcaps> . <repeat> sometimes celery and cheese whiz <elong>
61,'351799241196318721',@WhiskyDickson ERMAGAWD! Dude... That's almost close to slave labor!,off-topic,<user> ermagawd <allcaps> ! dude . <repeat> that 's almost close to slave labor !
62,'351727690526638080',@HuffingtonPost: The gut-wrenchingly tragic outcome of one couple and their struggle to accept their gay son http://t.co/wxOKSvQmvo Aww :(,off-topic,<user> : the gut-wrenchingly tragic outcome of one couple and their struggle to accept their gay son <url> aww <sadface>
63,'350321009678745601',The only ships still moving on the screens were the,off-topic,the only ships still moving on the screens were the
64,'348636214255030276',"A trip to ZR Autos :) ... #Lamborghini Murcielago, loved the colour on it :) @ ZR Auto http://t.co/y8CVAOXgQU",off-topic,"a trip to zr <allcaps> autos <smile> . <repeat> <hashtag> lamborghini murcielago , loved the colour on it <smile> @ zr <allcaps> auto <url>"
65,'347890318311575552',@jackshope They are airlifting our crew into Canmore via helicopter just to get communications set up! I need to keep listening to freq 24/7,off-topic,<user> they are airlifting our crew into canmore via helicopter just to get communications set up ! i need to keep listening to freq <number> / <number>
66,'348558198850072576',Should I already make my guesses for bucci overtime challenge for game 5? Sharp/Paille,off-topic,should i already make my guesses for bucci overtime challenge for game <number> ? sharp / paille
67,'348657898647322624',Her eyes sparkled as she lifted her other arm up so he could #see what she,off-topic,her eyes sparkled as she lifted her other arm up so he could <hashtag> see what she
68,'349336853532516352',"When @bbjli not only yells at my cousin, but makes him look like an idiot while teaching him in the process.",off-topic,"when <user> not only yells at my cousin , but makes him look like an idiot while teaching him in the process ."
69,'349232464490795008',Legs shoulders and abs. (@ World Gym) http://t.co/9nmdzhXmO4,off-topic,legs shoulders and abs . -LRB- @ world gym -RRB- <url>
70,'349482509601484800',Half Off Bridal-Gown Dry Cleaning from Fine Drycleaning http://t.co/POuzsUZyDH,off-topic,half off bridal-gown dry cleaning from fine drycleaning <url>
71,'351791095350435842',"A real man never stops trying to show a girl how much she means to him, even after he's got her.",off-topic,"a real man never stops trying to show a girl how much she means to him , even after he 's got her ."
72,'349688699715461121',@laurabuckley he was there last week!,off-topic,<user> he was there last week !
73,'351546840669372416',"On Saturday 29, #CFL was Trending Topic in Calgary for 14 hours: http://t.co/IuOfwM52VH",off-topic,on saturday <number> <hashtag> cfl <allcaps> <allcaps> was trending topic in calgary for <number> hours : <url>
74,'348148343018500096',Having coffee in the Main Street of Bowness while the rest of the world thinks we are 'Underwater' @ http://t.co/rziOcrRoQ0,on-topic,having coffee in the main street of bowness while the rest of the world thinks we are ` underwater ' @ <url>
75,'351234862692315138',Nothing worse than a cracked out guy trying to fight you. #whydidileavemyroom #whyteaveprobs,off-topic,nothing worse than a cracked out guy trying to fight you . <hashtag> whydidileavemyroom <hashtag> whyteaveprobs
76,'349028933469077504',Can everyone on my feed stop being a giant buzzkill? You can all go fuck your own face.,off-topic,can everyone on my feed stop being a giant buzzkill ? you can all go fuck your own face .
77,'350844264571346947',Sometimes I find myself rereading a sentence backwards without realizing it but it makes perfect sense. But when I try again it's gibberish.,off-topic,sometimes i find myself rereading a sentence backwards without realizing it but it makes perfect sense . but when i try again it 's gibberish .
78,'348136343592898560',"Happy birthday my love you are so talented, beautiful and spectacular. Happy birthday and many more my sweet @LanaDelRey",off-topic,"happy birthday my love you are so talented , beautiful and spectacular . happy birthday and many more my sweet <user>"
79,'348904836655353856',I haven't danced in forever.,off-topic,i have n't danced in forever .
80,'350367695616741377',@BestProAdvice: http://t.co/Azwvusfk3K I already do that shit,off-topic,<user> : <url> i already do that shit
81,'350766230434623488',@ShitNoOneSayss_: Just pre-ordered Soulja Boys new album!@AshleyMoBrown why did i think of you?,off-topic,<user> : just pre-ordered soulja boys new album ! <user> why did i think of you ?
82,'350795786247880704',In Okotoks watching the nephew playing some BantamAAA baseball #shwingbadder #chucker http://t.co/SmMfkcPq6D,off-topic,in okotoks watching the nephew playing some bantama <elong> baseball <hashtag> shwingbadder <hashtag> chucker <url>
83,'348446012169404416',"I'm at Tim Hortons (Edmonton, Alberta) http://t.co/qIkNCkHgLi",off-topic,"i 'm at tim hortons -LRB- edmonton , alberta -RRB- <url>"
84,'349257488174034944',Customer Relations - Non Profit Donor Services Calgary  - Starting at $13. Apply Now #job #hiring http://t.co/dzLYkAYx7S,off-topic,customer relations - non profit donor services calgary - starting at $ <number> apply now <hashtag> job <hashtag> hiring <url>
85,'351844701298638848',Boonstock festival goers cleaning up after four-day party in Gibbons [Photos]: The fun and games have wrapped up... http://t.co/LAtxqJab1c,off-topic,boonstock festival goers cleaning up after four-day party in gibbons -LSB- photos -RSB- : the fun and games have wrapped up . <repeat> <url>
86,'348172599181836288',@JavelinJamz tried replying but couldn't. We are here (Calgary). Shit is fucked. R u guys here? Should we do a house show???,off-topic,<user> tried replying but could n't . we are here -LRB- calgary -RRB- . shit is fucked . r u guys here ? should we do a house show ? <repeat>
87,'351236176050524161',#CanadaDay shows up at this time as Trend in Calgary http://t.co/wHuuFDTB0j,off-topic,<hashtag> canadaday shows up at this time as trend in calgary <url>
88,'350299556405198848',"Construction Safety Manager, Calgary AB #job #hiring http://t.co/Z021OiwOls",off-topic,"construction safety manager , calgary ab <allcaps> <hashtag> job <hashtag> hiring <url>"
89,'350869872303030272',The present day really isn't that bad in terms of entertainment media and culture as many people paint it to be.,off-topic,the present day really is n't that bad in terms of entertainment media and culture as many people paint it to be .
90,'349355315445235713',You are so attractive. #Js @MTV @MTVteenwolf,off-topic,you are so attractive . <hashtag> js <user> <user>
91,'348843092423610368',"TJX Canada #Retail #Job: Coordonnateur, Service  la clientle/Exploitation ( #Edmonton , AB) http://t.co/5T6FEjINBK #Jobs",off-topic,"tjx <allcaps> canada <hashtag> retail <hashtag> job : coordonnateur , service la clientle / exploitation -LRB- <hashtag> edmonton , ab <allcaps> -RRB- <url> <hashtag> jobs"
92,'350842645167341569',@rhenzramirez18 @JustSammyyG @iamChuntian @Izang_Calawita WOW! Look at your Social. 20-1 goes first before 10-1 in Sem 2. Hilarious!,off-topic,<user> <user> <user> <user> wow <allcaps> ! look at your social . <number> <number> goes first before <number> <number> in sem <number> hilarious !
93,'348446598616985601',It would have probably been easier and a lot less work to have stuck with roommates,off-topic,it would have probably been easier and a lot less work to have stuck with roommates
94,'348391226455760896',O driscolls block made the try#cuteness.can't beat it,off-topic,o driscolls block made the try <hashtag> cuteness.can ' t beat it
95,'350505847060840448',But she found only decomposing wood and fabric-not much of a threat as far as she could tell.,off-topic,but she found only decomposing wood and fabric-not much of a threat as far as she could tell .
96,'350076501405876224',"I'm on Instagram, follow me at indykhosah",off-topic,"i 'm on instagram , follow me at indykhosah"
97,'350847983270625281',".@ManteoMitchell @laurenfleshman I second this, the @Flotrack crew would love to nom on these for a few meets. Possible barter?",off-topic,". <user> <user> i second this , the <user> crew would love to nom on these for a few meets . possible barter ?"
98,'348647189981052928',@WORDUPTORONTO Thanks for the follow!,off-topic,<user> thanks for the follow !
99,'347924370196402182',Party in Miami tonight! The #Heat have done it again. NBA Champions!!!,off-topic,party in miami tonight ! the <hashtag> heat have done it again . nba <allcaps> champions ! <repeat>
100,'350858544901394433',Sat midnight: Temp 17.3 C; Wind SE 13 km/h; Humidity 67%; Press 101.7 kPa / falling; Health Idx 2.4.,off-topic,sat midnight : temp <number> c ; wind se <allcaps> <number> km / h ; humidity <number> % ; press <number> kpa / falling ; health idx <number>
101,'349264236112904192',"Forklift / Counter Balance Operator needed in Cochrane, AB #job #hiring http://t.co/TdktNIrBHp",off-topic,"forklift / counter balance operator needed in cochrane , ab <allcaps> <hashtag> job <hashtag> hiring <url>"
102,'350513891333242880',"Bemused, Ahsoka stared at the deactivated holotransmitter. Lanteeb. How very mystifying. And she'd look into it like Ana",off-topic,"bemused , ahsoka stared at the deactivated holotransmitter . lanteeb . how very mystifying . and she 'd look into it like ana"
103,'348737404804419584',@AmyBlacksson lol Burco and Somaliland in general you don't really need to take anything its all over there,off-topic,<user> lol burco and somaliland in general you do n't really need to take anything its all over there
104,'348265110114013185',And my fathers name is David what just happened here its fate,off-topic,and my fathers name is david what just happened here its fate
105,'351822882168512514',@giftbasketrus same to you!  Hope it's this nice at Silver Creek in a few weeks.... Cheers,off-topic,<user> same to you ! hope it 's this nice at silver creek in a few weeks . <repeat> cheers
106,'351459321432907777',@ScottyRoblin wouldn't say a mile but maybe a half mile just another year in Jr will be fine but Hunter Shinkaruk #sigh,off-topic,<user> would n't say a mile but maybe a half mile just another year in jr will be fine but hunter shinkaruk <hashtag> sigh
107,'348078792134238209',@misheybelle @DriveYYC looks like an Executive L series Lincoln Towncar (mini stretch limo) which is a good foot longer than most cars #kcco,off-topic,<user> <user> looks like an executive l series lincoln towncar -LRB- mini stretch limo -RRB- which is a good foot longer than most cars <hashtag> kcco
108,'349975329600831489',"think they control it, but they're tragically mistaken. The dark side of the Force controls and consumes them, consumes",off-topic,"think they control it , but they 're tragically mistaken . the dark side of the force controls and consumes them , consumes"
109,'350661618469834755',"I'm gonna start unfollowing ppl, who use the boys on the bus as an excuse for sucking. The team sucked.",off-topic,"i 'm gon na start unfollowing ppl , who use the boys on the bus as an excuse for sucking . the team sucked ."
110,'350174635427500032',"@CorieEberle Check that, your twitter app? Ever since I did, it's been pooched",off-topic,"<user> check that , your twitter app ? ever since i did , it 's been pooched"
111,'348265467426766850',"@UpperDeckHockey @UpperDeckSports just pulled pack wars 12-13 SPA Bobby Orr Team Canada  auto sp, great win http://t.co/4hSYUyxycG",off-topic,"<user> <user> just pulled pack wars <number> <number> spa <allcaps> bobby orr team canada auto sp , great win <url>"
112,'350030750369853442',"Is miserable, need some sort of therapy..just can't decide if it should be in the form of retail, chocolate or wine! *sigh* #seriously",off-topic,"is miserable , need some sort of therapy . <repeat> just ca n't decide if it should be in the form of retail , chocolate or wine ! * sigh * <hashtag> seriously"
113,'350108655561089025',"@redbloomsalon 5st from 12ave still looking dark, taken just a sec ago http://t.co/qs840RJBFI",off-topic,"<user> <number> st from <number> ave still looking dark , taken just a sec ago <url>"
114,'349353890585657344',RT @GreenMonster03: It's going to be a fluke goal that wins this friggin game!!!! C'mon #BRUINSSSSSSSSSSSSSSSSSSSS,off-topic,rt <allcaps> <user> : it 's going to be a fluke goal that wins this friggin game ! <repeat> c'mon <hashtag> bruins <allcaps> <elong> <allcaps>
115,'349937322332135426',"Lando gave it another dozen rounds, just to be sure. Then, during one of the deals, he casually looked over at Zerba and",off-topic,"lando gave it another dozen rounds , just to be sure . then , during one of the deals , he casually looked over at zerba and"
116,'349768442880069632',@ulethbridge guest assistant Sam was very helpful and friendly. I'm going to pop in and check out the @ULethSU tomorrow morning.,off-topic,<user> guest assistant sam was very helpful and friendly . i 'm going to pop in and check out the <user> tomorrow morning .
117,'351263185434705922',Lord Gaalan ignited his lightsaber; the clover-like growth on the meadow glowed red in its light. The other three Sith a,off-topic,lord gaalan ignited his lightsaber ; the clover-like growth on the meadow glowed red in its light . the other three sith a
118,'351497317343444992',@NHLFlames please make a deal make a diffence its the year of getting good players,off-topic,<user> please make a deal make a diffence its the year of getting good players
119,'349266139114778624',@jameskirby30 I'm 7 hours behind ye and that's well past its sell by date #GottaKeepItFresh,off-topic,<user> i 'm <number> hours behind ye and that 's well past its sell by date <hashtag> gottakeepitfresh
120,'350434323691876355',Update - State of Local Emergency: The City of Calgary remains in a state of local emergency due to significant... http://t.co/hgyxgPfYIW,on-topic,update - state of local emergency : the city of calgary remains in a state of local emergency due to significant . <repeat> <url>
121,'351219739995017218',TWITTER WHY YOU GOTTA BE LIKE THAT.,off-topic,twitter <allcaps> why <allcaps> you <allcaps> got ta <allcaps> be <allcaps> like <allcaps> that <allcaps> .
122,'349619831122829312',"Machine Tool Sales Representative needed in Cochrane, AB. Great pay ! #job #hiring http://t.co/DVzeWGRbyy",off-topic,"machine tool sales representative needed in cochrane , ab <allcaps> . great pay ! <hashtag> job <hashtag> hiring <url>"
123,'349702264308498432',Edmonton Public appoints new superintendent: Edmonton Public Schools has appointed Darrel Robertson as the new... http://t.co/OFQHjyxnrJ,off-topic,edmonton public appoints new superintendent : edmonton public schools has appointed darrel robertson as the new . <repeat> <url>
124,'348911181437759488',Clean up effort for the Calgary flood. #yycflood #elbowpark @ Elbow And Riverdale http://t.co/2Bc1fHHJZW,on-topic,clean up effort for the calgary flood . <hashtag> yycflood <hashtag> elbowpark @ elbow and riverdale <url>
125,'349226969558298626',Spending the day helping out rural Albertans reclaim their homes. #abflood #yyc #calgarystrong [pic]: http://t.co/5Cm1NGawNs,on-topic,spending the day helping out rural albertans reclaim their homes . <hashtag> abflood <hashtag> yyc <hashtag> calgarystrong -LSB- pic -RSB- : <url>
126,'351121835133370368',after a hard day of fence building... margaritas &amp; homemade burgers! #gratitude,off-topic,after a hard day of fence building . <repeat> margaritas & homemade burgers ! <hashtag> gratitude
127,'351123883312685056','Letang' appeared on Friday 28 at the 5th place in the Top20 of Calgary's Trends: http://t.co/D4b8ao3H8c,off-topic,` letang ' appeared on friday <number> at the <number> th place in the top <number> of calgary 's trends : <url>
128,'351060290277879808',In EDMONTON...ahhhh then CALG ON MONDAY...ahhhh,off-topic,in edmonton <allcaps> . <repeat> ah <elong> then calg <allcaps> on <allcaps> monday <allcaps> . <repeat> ah <elong>
129,'349433787769290753',"Instead Tahiri looked toward the jury-and #was surprised to find them looking not at Bwuatu, but at her. To a being, thei",off-topic,"instead tahiri looked toward the jury-and <hashtag> was surprised to find them looking not at bwuatu , but at her . to a being , thei"
130,'351400329901899778',"Ahh just got home. Only thing I'm missing here is, you know, a social life.",off-topic,"ahh just got home . only thing i 'm missing here is , you know , a social life ."
131,'348555642283384832',@tanisbrown A lot can happen in 10 minutes in this family Tanis,off-topic,<user> a lot can happen in <number> minutes in this family tanis
132,'348995853236707328',@bigeyesband Did u get a chance to take a look at the email I sent? I know you're on the road so whenever you get a chance would be rad! =),off-topic,<user> did u get a chance to take a look at the email i sent ? i know you 're on the road so whenever you get a chance would be rad ! <smile>
133,'350965523837747200',The guards did their best to look intimidating.,off-topic,the guards did their best to look intimidating .
134,'350270196658876417',"During those nights, he often awoke to a sense of worry or a beep from Shaker to see eyes gleaming from the other witle",off-topic,"during those nights , he often awoke to a sense of worry or a beep from shaker to see eyes gleaming from the other witle"
135,'349876694825451521',"@SmithLanaR Well, here goes nothing! Miss y'all already! #AlbertaDressCode http://t.co/tgL1PGAcgV",off-topic,"<user> well , here goes nothing ! miss y' all already ! <hashtag> albertadresscode <url>"
136,'350118292209418241',@stopbeingfamous Don't let them forget what so many Republicans thought of Mandela including Regan and Cheney.,off-topic,<user> do n't let them forget what so many republicans thought of mandela including regan and cheney .
137,'348204931901161472',@madisancowan what's the license plate number,off-topic,<user> what 's the license plate number
138,'350020201212944384',"@destructoid I didn't see that, dang!",off-topic,"<user> i did n't see that , dang !"
139,'350939554108276736',"raffic's at a stop:that one clump of men is still holding back, still #trying to get Skywalker up on their shoulders.",off-topic,"raffic 's at a stop : that one clump of men is still holding back , still <hashtag> trying to get skywalker up on their shoulders ."
140,'350495144576946176',@Gunner1812 @ZooeyDeschanel show me a horse on a dog and I'll be even more impressed.,off-topic,<user> <user> show me a horse on a dog and i 'll be even more impressed .
141,'348102002158489600',"#Engineering #Job in #Calgary Pipeline Engineers - Calgary, Alberta, Canada (2 Openi... at UniversalPegasus http://t.co/kxLpe9y22A",off-topic,"<hashtag> engineering <hashtag> job in <hashtag> calgary pipeline engineers - calgary , alberta , canada -LRB- <number> openi . <repeat> at universalpegasus <url>"
142,'351388613482778624',@FrankOceaan: Boys are nice until their friends show up. How true is this?,off-topic,<user> : boys are nice until their friends show up . how true is this ?
143,'348650978876223489',@AlyssaLang34 hah just being the best and bring the coolest chick and a beautiful girl who  loves sports!,off-topic,<user> hah just being the best and bring the coolest chick and a beautiful girl who loves sports !
144,'348228850481774592',Let Jean Becq know be can work at my photo studio. #abflood #togs,on-topic,let jean becq know be can work at my photo studio . <hashtag> abflood <hashtag> togs
145,'349335750870974465',@76for25 A #Hab fan doesn't cheer for the #Bruins. Cant Happen!,off-topic,<user> a <hashtag> hab fan does n't cheer for the <hashtag> bruins . cant happen !
